ID;Tipo;ROL;NOMBRE;RUT;DIRECCION;CODIGO_SII;ACTIVIDAD;FECHA_INGR;POINT_X;POINT_Y
1;INDUSTRIAL;1-000008;MARÍN TORRES HÉCTOR SIGIFREDO;;ANIBAL PINTO  450;952900,000000;T LLAVES;01/07/190;-73,04887370000;-36,82623270000
2;INDUSTRIAL;1-000010;GERMAN APLABLAZA Y CIA.LTDA.;80045700-9;CAUPOLICAN 1559;241000,000000;FUNDICION;01/;-73,05790380000;-36,81644530000
3;INDUSTRIAL;1-000017;ARRATIA SILVA ABELARDO;;FREIRE 27;452002,000000;REP AUTOMOVILES;01/07/1900;-73,05905360000;-36,82875670000
4;INDUSTRIAL;1-000032;BECERRA CEBALLOS MARÍA EUGENIA EUFROSINA;;ANGOL 656;952900,000000;TORNERIA;01/07/1900;-73,05575000000;-36,82676000000
5;INDUSTRIAL;1-000034;ALIMENTOS FRUNA LIMITADA;84156500-2;LOS CARRERA  546;107100,000000;CONFITERIA;01/07/;-73,05369440000;-36,82444840000
6;INDUSTRIAL;1-000038;SUC.JUAN ANTONIO BUSTOS C ARRASCO;53036010-5;TUCAPEL 1771;281900,000000;TORNERIA;01/07;-73,05466800000;-36,81168540000
7;INDUSTRIAL;1-000043;CARIOLA TORRES MANUEL E.;;MAIPU 291;452002,000000;REP BICICLETAS;01/07/1900;-73,05646850000;-36,82643330000
8;INDUSTRIAL;1-000047;MOTORES ELECTRICOS CONCEPCION Y CIA. LTDA;89193900-0;PASAJE VICENTE ACUÑA   530;452002,000000;;;-73,05743460000;-36,81852850000
9;INDUSTRIAL;1-000051;EMPRESA DE VESTUARIO INTEGRAL TIENDA Y AFINES LIMITADA;86933600-9;BARROS ARANA  780;143000,000000;;;-73,04859700000;-36,82611060000
10;INDUSTRIAL;1-000062;COMPAÑIA GENERAL DE ELECTRICIDAD S. A.;76411321-7;BARROS ARANA  64;351011,000000;DIST Y VTA DE EN;;-73,05782180000;-36,82993390000
11;INDUSTRIAL;1-000065;CORONADO SOTO CHRISTIAN LEONARDO;;ROSAMEL DEL SOLAR   91;239300,000000;T MARMOLERIA;;-73,06822070000;-36,81848090000
12;INDUSTRIAL;1-000079;ALGODONERA VARAS Y CIA. LTDA.;89516100-4;BRASIL 853;139200,000000;FCA.ALGODON HIDROFIL;;-73,05588490000;-36,81289890000
13;INDUSTRIAL;1-000084;ESQUERRE HERMANOS LIMITADA;80325400-1;ARTURO PRAT   930;143000,000000;FABRICA DE ROPA;;-73,06142120000;-36,82555240000
14;INDUSTRIAL;1-000087;MILAN FABJANOVIC SPA;81548400-2;FREIRE 157;475201,000000;FERRETERIA INDUSTRIAL;01/07/190;-73,05748860000;-36,82810010000
15;INDUSTRIAL;1-000088;CUEVAS MARTINEZ SARA DEL CARM;;LOS CARRERA  462;960200,000000;PELUQUERIA;01/07/1900;-73,05479380000;-36,82467330000
